is_covid,received,article_date,acceptance_delay,is_psych,is_mega,issn_linking,h_index,open_access,publication_delay,sjr_2024,sjr_2023,sjr_2022,sjr_2021,sjr_2020,sjr_2019,sjr_2018,sjr_2017,sjr_2016,sjr_2015,publication_types,title,journal,sjr,rank,discipline,asjc,npi_discipline,npi_field,npi_level_24,npi_level_23,npi_level_22,npi_level_21,npi_level_20,npi_level_19,npi_level_18,npi_level_17,npi_level_16,npi_level_15,is_series,established,country,keywords,apc,apc_amount
FALSE,2015-01-13,2015-02-18,16,FALSE,FALSE,0009921X,244,FALSE,20,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Clinical Faceoff: Routine Electrodiagnostic Testing is Not Helpful in the Management of Carpal Tunnel Syndrome.,Clinical orthopaedics and related research,1.339,2931,health_sciences,2732,Health Sciences,Surgical Sciences,2,2,2,2,2,1,1,1,1,1,FALSE,1963,United States,NA,NA,NA
FALSE,2015-01-16,2015-02-18,24,FALSE,FALSE,18601499,48,FALSE,9,Q3,Q3,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,"Case Reports, Journal Article",Invasive urothelial carcinoma with chordoid features may be an ominous sign predicting sarcomatoid change: a case report of a bladder carcinoma.,Medical molecular morphology,0.41800000000000004,13386,life_sciences,1312,Health Sciences,Biomedicine,1,1,1,1,1,1,1,1,1,1,FALSE,1993,Japan,"Chordoid features, Sarcomatoid, Urinary bladder, Urothelial carcinoma",NA,NA
FALSE,2015-01-05,2015-02-18,30,FALSE,FALSE,08937648,147,FALSE,14,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Review",Resveratrol Protects from Toxin-Induced Parkinsonism: Plethora of Proofs Hitherto Petty Translational Value.,Molecular neurobiology,1.397,2712,life_sciences,2804,Health Sciences,Neurology,1,1,1,1,1,1,1,1,1,1,FALSE,1987,United States,"Cellular models, Parkinsonism, Resveratrol, Rodent models, Translational value",NA,NA
FALSE,2015-01-02,2015-03-15,45,FALSE,FALSE,00099163,121,FALSE,27,Q2,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Journal Article,Characterization of patients referred for non-specific intellectual disability testing: the importance of autosomal genes for diagnosis.,Clinical genetics,1.093,4171,health_sciences,2716,Health Sciences,Biomedicine,1,1,1,1,1,1,1,1,1,1,FALSE,1970,Denmark,"X-linked chromosome, autosomal, intellectual disability, next-generation sequencing, non-specific",NA,NA
FALSE,2015-01-17,2015-02-20,26,FALSE,FALSE,09422056,160,FALSE,8,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,"Increasing incidence of acute Achilles tendon rupture and a noticeable decline in surgical treatment from 1994 to 2013. A nationwide registry study of 33,160 patients.","Knee surgery, sports traumatology, arthroscopy : official journal of the ESSKA",1.95,1514,health_sciences,2732,Health Sciences,Surgical Sciences,1,1,1,1,1,1,1,1,1,1,FALSE,1993,Germany,"Achilles tendon rupture, Age, Epidemiology, Incidence, Operative treatment, Season",NA,NA
FALSE,2015-01-12,2015-02-22,32,FALSE,FALSE,03400727,93,FALSE,9,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,An enhanced experimental procedure to rationalize on the impairment of perception of action capabilities.,Psychological research,1.034,4565,social_sciences_and_humanities,1201,Health Sciences,Psychology,1,1,1,1,1,1,1,1,1,1,FALSE,1974,Germany,NA,NA,NA
FALSE,2015-02-02,2015-02-24,2,FALSE,FALSE,02567040,100,FALSE,20,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,"Biography, Historical Article, Journal Article",Constantin von Economo (1876-1931) and his legacy to neuroscience.,Child's nervous system : ChNS : official journal of the International Society for Pediatric Neurosurgery,0.47800000000000004,12021,health_sciences,2728,Health Sciences,Neurology,1,1,1,1,1,1,1,1,1,1,FALSE,1985,Germany,NA,NA,NA
FALSE,2015-01-19,2015-02-20,27,FALSE,FALSE,02785846,157,FALSE,5,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Research Support, Non-U.S. Gov't, Review",Genome-wide microarray analysis of gene expression profiling in major depression and antidepressant therapy.,Progress in neuro-psychopharmacology & biological psychiatry,1.768,1785,life_sciences,2803,Health Sciences,Neurology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,England,"Antidepressants, Genome-wide gene expression profiling, Genome-wide microarray analysis, Major depressive disorder, Transcriptional profiling",NA,NA
FALSE,2015-01-12,2015-02-25,31,FALSE,FALSE,18684297,32,FALSE,13,Q1,Q1,Q1,Q1,Q3,Q3,Q3,Q3,Q3,Q3,"Case Reports, Journal Article",Coronary thrombus aspiration revealed tumorous embolism of myxofibrosarcoma from the left atrium.,Cardiovascular intervention and therapeutics,0.8340000000000001,6374,health_sciences,2705,Health Sciences,Cardiovascular and Respiratory Systems,1,1,1,1,1,NA,NA,NA,NA,NA,FALSE,2009,Japan,"Acute myocardial infarction, Thrombus aspiration, Tumor embolism",NA,NA
FALSE,2015-02-13,2015-03-27,2,FALSE,FALSE,14622912,234,FALSE,40,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Ice cover extent drives phytoplankton and bacterial community structure in a large north-temperate lake: implications for a warming climate.,Environmental microbiology,1.345,2910,life_sciences,1105,Natural Sciences and Engineering,Biosciences,2,2,2,2,2,2,2,2,2,2,FALSE,1999,England,NA,NA,NA
FALSE,2015-01-12,2015-02-26,32,FALSE,FALSE,09441344,212,FALSE,13,Q1,Q1,Q1,Q1,Q2,Q2,Q1,Q2,Q1,Q1,Journal Article,Enrichment of trace elements in the clay size fraction of mining soils.,Environmental science and pollution research international,1.004,4796,physical_sciences,2307,Natural Sciences and Engineering,Geosciences,1,1,1,1,1,1,1,1,1,1,FALSE,1994,Germany,"Accumulation factor, Clay size fraction, Contamination, Mining soils, Portugal, Trace elements",NA,NA
FALSE,2015-01-04,2015-02-24,24,FALSE,FALSE,17598478,90,FALSE,27,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Case Reports, Journal Article",Improvement of sudden bilateral hearing loss after vertebral artery stenting.,Journal of neurointerventional surgery,1.6340000000000001,2067,health_sciences,2728,Health Sciences,Neurology,1,1,1,1,1,1,NA,NA,NA,NA,FALSE,2009,England,"Intervention, Stent, Stroke",NA,NA
FALSE,2015-01-05,2015-02-26,48,FALSE,FALSE,09374477,94,FALSE,4,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Journal Article,Intensity-modulated radiotherapy for cervical esophageal squamous cell carcinoma: clinical outcomes and patterns of failure.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Cervical esophageal cancer, IMRT, Intensity-modulated radiotherapy, Pattern of failure, Survival",NA,NA
FALSE,2015-01-07,2015-02-27,41,FALSE,FALSE,09374477,94,FALSE,10,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Journal Article,A novel muscle for electroneurography in peripheral facial palsy: occipitalis.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Electroneurography, Nasalis muscle, Occipitalis muscle, Peripheral facial paralysis",NA,NA
FALSE,2015-02-05,2015-02-25,18,FALSE,FALSE,03043940,194,FALSE,2,Q2,Q3,Q2,Q2,Q2,Q3,Q3,Q2,Q2,Q2,"Journal Article, Review","The metabolic trinity, glucose-glycogen-lactate, links astrocytes and neurons in brain energetics, signaling, memory, and gene expression.",Neuroscience letters,0.766,7182,life_sciences,2800,Health Sciences,Neurology,1,1,1,1,1,1,1,1,1,1,FALSE,1975,Ireland,"Astrocyte, Glucose, Glycogen, Lactate, Neuron",NA,NA
FALSE,2015-01-06,2015-03-01,48,FALSE,FALSE,03405761,149,FALSE,6,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Research Support, Non-U.S. Gov't",Oxidative stress-induced apoptotic insults to rat osteoblasts are attenuated by nitric oxide pretreatment via GATA-5-involved regulation of Bcl-X L gene expression and protein translocation.,Archives of toxicology,1.456,2514,physical_sciences,2307,Health Sciences,Pharmacology and Toxicology,1,1,1,1,1,1,1,1,1,1,FALSE,1974,Germany,"Apoptosis, Bcl-XL, GATA-5, Nitric oxide, Osteoblasts, Oxidative stress",NA,NA
FALSE,2015-01-10,2015-03-03,44,FALSE,FALSE,09374477,94,FALSE,8,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,"Case Reports, Journal Article",Acquired auditory neuropathy spectrum disorder after an attack of chikungunya: case study.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Anxiety, Auditory neuropathy spectrum disorder, Chikungunya, Depression, Tinnitus, Tullio’s phenomenon",NA,NA
FALSE,2015-02-01,2015-03-02,6,FALSE,FALSE,00175749,364,FALSE,23,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Multicenter Study, Research Support, Non-U.S. Gov't",Multimodality endoscopic eradication for neoplastic Barrett oesophagus: results of an European multicentre study (EURO-II).,Gut,8.874,103,health_sciences,2715,Health Sciences,Gastroenterology and Hepatology,2,2,2,2,2,2,2,2,2,2,FALSE,1960,England,"BARRETT'S CARCINOMA, ENDOSCOPIC PROCEDURES, OESOPHAGEAL CANCER",NA,NA
FALSE,2015-01-02,2015-03-01,33,FALSE,FALSE,10107940,158,FALSE,25,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Case Reports, Journal Article",Pulmonary embolism and thrombus-in-transit crossing a patent foramen ovale: comprehensive diagnosis using cardiac multislice computed tomography.,European journal of cardio-thoracic surgery : official journal of the European Association for Cardio-thoracic Surgery,1.033,4570,health_sciences,2705,Health Sciences,Cardiovascular and Respiratory Systems,1,1,1,1,1,1,1,1,1,1,FALSE,1987,Germany,"Computed tomography, Embolism, Heart, Pulmonary arteries",NA,NA
FALSE,2015-01-28,2015-03-04,21,FALSE,FALSE,09411291,77,FALSE,14,Q2,Q1,Q1,Q2,Q2,Q1,Q2,Q1,Q1,Q2,Journal Article,Single-incision laparoscopic surgery for stricturing and penetrating Crohn's disease.,Surgery today,0.656,8758,health_sciences,2746,Health Sciences,Surgical Sciences,1,1,1,1,1,1,1,1,1,1,FALSE,1992,Japan,"Penetrating Crohn’s disease, Single-incision laparoscopic surgery, Stricturing Crohn’s disease",NA,NA
FALSE,2015-01-04,2015-02-19,39,FALSE,FALSE,02615614,183,FALSE,7,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Dynapenic abdominal obesity as predictor of mortality and disability worsening in older adults: A 10-year prospective study.,"Clinical nutrition (Edinburgh, Scotland)",2.2119999999999997,1188,health_sciences,2706,Health Sciences,Nutrition,2,2,2,2,1,1,1,1,1,1,FALSE,1982,England,"Disability, Dynapenia, Mortality, Muscle strength, Sarcopenic obesity",NA,NA
FALSE,2015-01-05,2015-03-03,27,FALSE,FALSE,13524585,160,FALSE,30,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Reconsidering outdoor temperature and cognition in multiple sclerosis.,"Multiple sclerosis (Houndmills, Basingstoke, England)",1.938,1534,health_sciences,2728,Health Sciences,Neurology,1,1,1,1,1,1,1,1,1,1,FALSE,1995,England,"Multiple sclerosis, attention, cognitive testing, memory, neuropsychological functioning, processing speed",NA,NA
FALSE,2015-01-20,2015-03-05,35,FALSE,FALSE,03400131,105,FALSE,9,Q1,Q1,Q2,Q2,Q2,Q2,Q2,Q1,Q2,Q1,Journal Article,Pre-employment examination for low back risk in workers exposed to manual handling of loads: French guidelines.,International archives of occupational and environmental health,1.051,4450,health_sciences,2739,Health Sciences,"Public, Environmental and Occupational Health",1,1,1,1,1,1,1,1,1,1,FALSE,1975,Germany,"Guidelines, Low back pain, Low back risk, Manual handling of loads, Pre-employment, Recommendations",NA,NA
FALSE,2015-01-17,2015-03-06,37,FALSE,FALSE,07703198,104,FALSE,11,Q2,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q2,Q2,Journal Article,A qualitative analysis of methotrexate self-injection education videos on YouTube.,Clinical rheumatology,0.8550000000000001,6155,health_sciences,2745,Health Sciences,Rheumatology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,Germany,"Methotrexate, Patient education, Rheumatoid arthritis, Webcasts",NA,NA
FALSE,2015-01-18,2015-03-05,31,FALSE,FALSE,03914097,104,FALSE,15,Q1,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q2,Q3,"Comparative Study, Journal Article",The impact of thyroid hormone replacement therapy on left ventricular diastolic function in patients with subclinical hypothyroidism.,Journal of endocrinological investigation,1.2149999999999999,3486,life_sciences,1310,Health Sciences,Endocrinology,1,1,1,1,1,1,1,1,1,1,FALSE,1978,Italy,"Echocardiography, Heart failure, Left ventricular diastolic function, Subclinical hypothyroidism",NA,NA
FALSE,2015-01-14,2015-03-30,43,FALSE,FALSE,03000664,169,FALSE,32,Q2,Q2,Q2,Q2,Q2,Q1,Q1,Q1,Q1,Q1,Journal Article,The TNM system (version 7) is the most accurate staging system for the prediction of loss of life expectancy in differentiated thyroid cancer.,Clinical endocrinology,1.006,4784,life_sciences,1310,Health Sciences,Endocrinology,1,1,1,1,1,1,1,1,1,1,FALSE,1972,England,NA,NA,NA
FALSE,2015-01-20,2015-03-05,36,FALSE,FALSE,09374477,94,FALSE,8,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,"Case Reports, Journal Article",A branchial cyst of the pyriform fossa transoral laser resection: a case report.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Branchial, Cyst, Laser, Pyriform fossa, Transoral",NA,NA
FALSE,2015-01-10,2015-03-06,45,FALSE,FALSE,13533452,83,FALSE,10,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q2,Q2,Journal Article,"Evaluation by Citation: Trends in Publication Behavior, Evaluation Criteria, and the Strive for High Impact Publications.",Science and engineering ethics,0.961,5168,social_sciences_and_humanities,1405,Humanities,Philosophy,1,1,1,1,1,1,1,1,1,1,FALSE,1995,England,"High impact, Publication practices, Publish or perish, Research evaluation",NA,NA
FALSE,2015-01-09,2015-03-06,45,FALSE,FALSE,03405761,149,FALSE,11,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Research Support, Non-U.S. Gov't",Perfluorooctanoic acid disrupts the blood-testis barrier and activates the TNFα/p38 MAPK signaling pathway in vivo and in vitro.,Archives of toxicology,1.456,2514,physical_sciences,2307,Health Sciences,Pharmacology and Toxicology,1,1,1,1,1,1,1,1,1,1,FALSE,1974,Germany,"JNK, Male infertility, Perfluorooctanoic acid, Transforming growth factor β3, p38 MAPK inhibitor",NA,NA
FALSE,2015-02-24,2015-03-06,3,FALSE,FALSE,09374477,94,FALSE,7,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Journal Article,Hunger state affects both olfactory abilities and gustatory sensitivity.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Extended Sniffin’ test, Gustation, Hunger, Satiety, Smell, Taste",NA,NA
FALSE,2015-01-16,2015-03-07,33,FALSE,FALSE,07703198,104,FALSE,17,Q2,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q2,Q2,"Journal Article, Research Support, Non-U.S. Gov't","Novel markers of endothelial dysfunction and inflammation in Behçet's disease patients with ocular involvement: epicardial fat thickness, carotid intima media thickness, serum ADMA level, and neutrophil-to-lymphocyte ratio.",Clinical rheumatology,0.8550000000000001,6155,health_sciences,2745,Health Sciences,Rheumatology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,Germany,"ADMA, Asymmetric dimethylarginine, Behçet’s disease, Carotid intima media thickness, Neutrophil to lymphocyte ratio, Rheumatic diseases",NA,NA
FALSE,2015-01-01,2015-03-04,24,FALSE,FALSE,09310509,203,FALSE,38,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Review",The vulnerable patient with chronic kidney disease.,"Nephrology, dialysis, transplantation : official publication of the European Dialysis and Transplant Association - European Renal Association",1.6800000000000002,1963,health_sciences,2747,Health Sciences,Nephrology,1,1,1,1,1,1,1,1,1,1,FALSE,1986,England,NA,NA,NA
FALSE,2015-01-07,2015-03-06,48,FALSE,FALSE,14363291,106,FALSE,10,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Accuracy of diagnostic demarcation of undifferentiated-type early gastric cancers for magnifying endoscopy with narrow-band imaging: endoscopic submucosal dissection cases.,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,2.489,965,life_sciences,1306,Health Sciences,Oncology,1,1,1,1,1,1,1,1,1,1,FALSE,1998,Japan,"Endoscopic resection, Gastric cancer, Magnifying endoscopy, Undifferentiated-type cancer",NA,NA
FALSE,2015-01-05,2015-03-03,22,FALSE,FALSE,0213005X,49,FALSE,35,Q3,Q3,Q3,Q4,Q3,Q3,Q3,Q3,Q3,Q3,Journal Article,Cost/efficacy analysis of preferred Spanish AIDS study group regimens and the dual therapy with lopinavir/ritonavir plus lamivudine for initial ART in HIV infected adults.,Enfermedades infecciosas y microbiologia clinica,0.33699999999999997,15498,health_sciences,2725,Health Sciences,Infectious Diseases,1,1,1,1,1,1,1,1,1,1,FALSE,1984,Spain,"AIDS, Antiretroviral therapy, Cost, Coste, Efficacy, Efficiency, Eficacia, Eficiencia, HIV, SIDA, Terapia antirretroviral, VIH",NA,NA
FALSE,2015-01-27,2015-03-07,29,FALSE,FALSE,09374477,94,FALSE,10,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,Journal Article,A single-item screening question for fear of recurrence in head and neck cancer.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Fear of recurrence, Head and neck cancer, Health-related quality of life, Patient-reported outcomes, UW-QOL",NA,NA
FALSE,2015-02-06,2015-03-08,20,FALSE,FALSE,09374477,94,FALSE,10,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q2,Q1,Q2,"Journal Article, Randomized Controlled Trial, Research Support, Non-U.S. Gov't",Balloon catheter dilation technology combined with a fibrolaryngoscope to treat a maxillary sinus cyst.,European archives of oto-rhino-laryngology : official journal of the European Federation of Oto-Rhino-Laryngological Societies (EUFOS) : affiliated with the German Society for Oto-Rhino-Laryngology - Head and Neck Surgery,0.7869999999999999,6931,health_sciences,2733,Health Sciences,Otorhinolaryngology,1,1,1,1,1,1,1,1,1,1,FALSE,1990,Germany,"Balloon catheter, Endoscopic sinus surgery, Fibrolaryngoscope, Maxillary retention cyst",NA,NA
FALSE,2015-01-01,2015-03-08,48,FALSE,FALSE,07703198,104,FALSE,18,Q2,Q2,Q2,Q1,Q2,Q2,Q1,Q1,Q2,Q2,Journal Article,Development of de novo major involvement during follow-up in Behçet's syndrome.,Clinical rheumatology,0.8550000000000001,6155,health_sciences,2745,Health Sciences,Rheumatology,1,1,1,1,1,1,1,1,1,1,FALSE,1982,Germany,"Behçet’s syndrome, Major organ involvement, Prognosis",NA,NA
FALSE,2015-01-08,2015-03-10,47,FALSE,FALSE,14363291,106,FALSE,14,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Journal Article,Endoscopic and histological features of gastric cancers after successful Helicobacter pylori eradication therapy.,Gastric cancer : official journal of the International Gastric Cancer Association and the Japanese Gastric Cancer Association,2.489,965,life_sciences,1306,Health Sciences,Oncology,1,1,1,1,1,1,1,1,1,1,FALSE,1998,Japan,"Eradication therapy, Gastric cancer, H. pylori, Magnifying endoscopy, Narrow-band imaging",NA,NA
FALSE,2015-01-13,2015-03-24,50,FALSE,FALSE,00225142,187,FALSE,20,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,Q1,"Journal Article, Research Support, Non-U.S. Gov't",Double emulsions to improve frankfurter lipid content: impact of perilla oil and pork backfat.,Journal of the science of food and agriculture,0.7979999999999999,6802,health_sciences,2916,Natural Sciences and Engineering,Biosciences,1,1,1,1,1,1,1,1,1,1,FALSE,1950,England,"double emulsion, functional ingredient, low-fat meat products, perilla oil",NA,NA
