"journal_title","title"
"Structure",1016
"Structural and Multidisciplinary Optimization",7
"Structural Heart",3
"Structural Dynamics",295
"Structural Control and Health Monitoring",3
"Structural Chemistry",57
"Structural Change and Economic Dynamics",10
"Stroke and Vascular Neurology",341
"Stroke",1163
"Stress and Health",490
"Strategies in Trauma and Limb Reconstruction",73
"Strategic Management Journal",2
"Strahlentherapie und Onkologie",718
"Stochastics and Partial Differential Equations: Analysis and Computations",2
"Stochastics",1
"Stochastic Models",1
"Stochastic Environmental Research and Risk Assessment",1
"Steroids",903
"Stereotactic and Functional Neurosurgery",300
"Stem cells translational medicine",797
"Stem Cells and Cloning: Advances and Applications",28
"Stem Cells",913
"Stem Cell Research and Therapy",2650
"Stem Cell Research",2037
"Stem Cell Reports",1310
"Stem Cell Investigation",175
"Statistics in Medicine",2160
"Statistics in Biosciences",13
"Statistics and Computing",38
"Statistics",2
"Statistical Papers",7
"Statistical Applications in Genetics and Molecular Biology",23
"Statistical Analysis and Data Mining",5
"Statistica Neerlandica",3
"Stat",7
"Sports Medicine and Health Science",89
"Sports Medicine - Open",372
"Sports",1059
"Sport, Exercise, and Performance Psychology",1
"Sport, Education and Society",1
"Sport Sciences for Health",59
"Spine Surgery and Related Research",357
"Spine Journal",1561
"Spine Deformity",623
"Spine",156
"Spinal cord series and cases",564
"Spinal Cord",989
"Spektrum der Augenheilkunde",8
"Spectrochimica Acta - Part A: Molecular and Biomolecular Spectroscopy",7118
"Special Care in Dentistry",296
"Spatial and Spatio-temporal Epidemiology",258
"Space and Polity",1
"Space Weather",15
"Space Science Reviews",45
"Space Policy",1
"Southern African Journal of HIV Medicine",212
"South African Journal of Radiology",119
"South African Journal of Psychiatry",235
"South African Journal of Physiotherapy",181
"South African Journal of Economics",4
"Source Code for Biology and Medicine",26
"Somnologie",4
"Solid State Nuclear Magnetic Resonance",241
"Solar Physics",58
"Solar Energy",2
"Soil Use and Management",4
"Soil Science Society of America Journal",2
"Soil Research",1
"Software and Systems Modeling",30
"Software Impacts",5
"Software - Practice and Experience",7
"Sociology of Health and Illness",271
"Sociology Compass",6
"Sociological Science",1
"Sociological Review",1
"Sociological Research Online",1
"Sociologia Ruralis",2
"Socio-Ecological Practice Research",27
"Societies",1
"Social and Personality Psychology Compass",8
"Social Work Research",12
"Social Work",16
"Social Science and Medicine",3348
"Social Science Research",686
"Social Science Quarterly",21
"Social Psychology of Education",21
"Social Psychology",1
"Social Psychiatry and Psychiatric Epidemiology",1150
"Social Policy and Administration",12
"Social Indicators Research",5
"Social Forces",5
"Social Development",5
"Social Cognitive and Affective Neuroscience",161
"Social Choice and Welfare",14
"Social Anthropology",5
"Smart Materials in Medicine",3
"Smart Health",14
"Small",254
"Sleep and Vigilance",23
"Sleep and Breathing",1306
"Sleep and Biological Rhythms",22
"Sleep Science",45
"Sleep Medicine: X",44
"Sleep Medicine Reviews",501
"Sleep Medicine",2117
"Sleep Health",562
"Sleep",219
"Skin Research and Technology",448
"Skin Pharmacology and Physiology",240
"Skin Appendage Disorders",325
"Skeletal Radiology",1522
"Skeletal Muscle",219
"Singapore Journal of Tropical Geography",2
"Simulation Modelling Practice and Theory",4
"Signal, Image and Video Processing",25
"Signal Transduction and Targeted Therapy",934
"Shoulder and Elbow",319
"Sexually Transmitted Infections",675
"Sexuality and Culture",2
"Sexual and Reproductive Healthcare",417
"Sexual Medicine Reviews",359
"Sexual Medicine",451
"Sexual Health",40
"Sexual Development",85
"Sex Roles",1
"Sex Education",1
"Set-Valued and Variational Analysis",1
"Sequential Analysis",1
"Separation and Purification Technology",15
"Separation Science and Technology",4
"Sensors and Actuators Reports",4
"Sensors and Actuators B: Chemical",76
"Sensors International",37
"Sensors",38941
"Sensing and Imaging",1
"Sensing and Bio-Sensing Research",7
"Seminars in Vascular Surgery",80
"Seminars in Thoracic and Cardiovascular Surgery",259
"Seminars in Roentgenology",40
"Seminars in Pediatric Neurology",69
"Seminars in Oncology Nursing",48
"Seminars in Oncology",221
"Seminars in Nuclear Medicine",40
"Seminars in Immunopathology",328
"Seminars in Immunology",284
"Seminars in Hematology",138
"Seminars in Dialysis",151
"Seminars in Diagnostic Pathology",96
"Seminars in Cell and Developmental Biology",1297
"Seminars in Cancer Biology",1006
"Seminars in Arthritis and Rheumatism",963
"Semergen",535
"Seizure : the journal of the British Epilepsy Association",1554
"Sedimentology",4
"Scottish Journal of Political Economy",1
"Scoliosis and Spinal Disorders",90
"Scientometrics",112
"Scientifica",466
"Scientific data",2279
"Scientific World Journal, The",865
"Scientific Reports",146821
"Scientific African",62
"Scientia Pharmaceutica",115
"Science of the Total Environment",38332
"Science immunology",19
"Science and Technology of Archaeological Research",1
"Science and Technology of Advanced Materials",320
"Science and Sports",9
"Science and Public Policy",1
"Science and Justice - Journal of the Forensic Science Society",458
"Science and Engineering Ethics",516
"Science advances",6826
"Science Translational Medicine",52
"Science Robotics",39
"Science Education",8
"Science China Technological Sciences",6
"Science China Mathematics",1
"Science China Materials",7
"Science China Life Sciences",1125
"Science China Earth Sciences",6
"Science China Chemistry",7
"Science Bulletin",31
"Science",1323
"Schmerz",72
"Schmalenbach Journal of Business Research",9
"Schizophrenia Research: Cognition",178
"Schizophrenia Research and Treatment",34
"Schizophrenia Research",2353
"Schizophrenia",194
"Scanning",381
"Scandinavian Political Studies",1
"Scandinavian Journal of Trauma, Resuscitation and Emergency Medicine",777
"Scandinavian Journal of Surgery",5
"Scandinavian Journal of Statistics",5
"Scandinavian Journal of Psychology",517
"Scandinavian Journal of Pain",335
"Scandinavian Journal of Medicine and Science in Sports",862
"Scandinavian Journal of Immunology",370
"Scandinavian Journal of Caring Sciences",726
"Scandinavian Actuarial Journal",1
"Saudi Pharmaceutical Journal",975
"Saudi Journal of Ophthalmology",363
"Saudi Dental Journal",463
"Sarcoma",180
"Sarcoidosis Vasculitis and Diffuse Lung Diseases",239
"Sao Paulo Medical Journal",186
"Sankhya B",4
"Sankhya A",2
"Salud Publica de Mexico",96
"Salud Colectiva",118
"Safety and Health at Work",417
"STAR Protocols",163
"SSM - Population Health",1194
"SN Computer Science",179
"SLAS Technology",23
"SLAS Discovery",36
"SICOT-J",310
"SIAM Journal on Applied Dynamical Systems",1
"SERIEs",13
"SAGE Open Nursing",331
"SAGE Open Medicine",1204
"SAGE Open Medical Case Reports",7
"Russian Journal of Marine Biology",1
"Russian Journal of Genetics",4
"Russian Journal of General Chemistry",16
"Russian Journal of Ecology",1
"Russian Journal of Bioorganic Chemistry",21
"Russian Journal of Biological Invasions",1
"Russian Chemical Bulletin",14
"Rural Sociology",3
"Royal Society Open Science",4305
"Romanian Journal of Anaesthesia and Intensive Care",5
"Robotics",1
"River Research and Applications",3
"Risk, Hazards and Crisis in Public Policy",12
"Risk Management and Insurance Review",4
"Risk Management and Healthcare Policy",982
"Risk Analysis",823
"Rice",515
"Rheumatology and Therapy",257
"Rheumatology and Autoimmunity",3
"Rheumatology International",1688
"Rheumatology Advances in Practice",180
"Rheumatology",379
"Rheologica Acta",4
"Revue des Maladies Respiratoires",577
"Revue de Chirurgie Orthopedique et Traumatologique",8
"Revue d'Epidemiologie et de Sante Publique",274
"Revue Francaise d'Allergologie",8
"Revue Europeenne de Psychologie Appliquee",4
"Revista gaucha de enfermagem / EENFUFRGS",693
"Revista espanola de sanidad penitenciaria",16
"Revista espanola de cardiologia (English ed.)",914
"Revista do Instituto de Medicina Tropical de Sao Paulo",472
"Revista do Colegio Brasileiro de Cirurgioes",326
"Revista de la Real Academia de Ciencias Exactas, Fisicas y Naturales - Serie A: Matematicas",8
"Revista de la Facultad de Ciencias Medicas de Cordoba",300
"Revista de Saude Publica",787
"Revista de Psiquiatria y Salud Mental",30
"Revista da Sociedade Brasileira de Medicina Tropical",729
"Revista cl&amp;#x00ed;nica espan&amp;#x00f5;la",383
"Revista Portuguesa de Cardiologia",315
"Revista Peruana de Medicina de Experimental y Salud Publica",235
"Revista Paulista de Pediatria",462
"Revista Panamericana de Salud Publica/Pan American Journal of Public Health",814
"Revista Matematica Complutense",3
"Revista Internacional de Andrologia",163
"Revista Iberoamericana de Micologia",187
"Revista Espanola de Salud Publica",659
"Revista Espanola de Patologia",195
"Revista Espanola de Medicina Nuclear e Imagen Molecular",125
"Revista Espanola de Geriatria y Gerontologia",314
"Revista Espanola de Cirugia Ortopedica y Traumatologia",202
"Revista Espanola de Cardiologia",9
"Revista Espanola de Anestesiologia y Reanimacion",123
"Revista Clinica Espanola",86
"Revista Brasileira de Terapia Intensiva",156
"Revista Brasileira de Psiquiatria",281
"Revista Brasileira de Parasitologia Veterinaria",540
"Revista Brasileira de Ortopedia",486
"Revista Brasileira de Medicina do Trabalho",229
"Revista Brasileira de Medicina Veterinaria",22
"Revista Brasileira de Farmacognosia",20
"Revista Brasileira de Epidemiologia",440
"Reviews on Recent Clinical Trials",20
"Reviews on Environmental Health",172
"Reviews of Geophysics",7
"Reviews in the Neurosciences",141
"Reviews in Medical Virology",397
"Reviews in Medical Microbiology",2
"Reviews in Fish Biology and Fisheries",21
"Reviews in Environmental Science and Biotechnology",4
"Reviews in Aquaculture",3
"Review of Religious Research",15
"Review of Policy Research",2
"Review of International Economics",3
"Review of Industrial Organization",1
"Review of European, Comparative and International Environmental Law",1
"Review of Economics of the Household",41
"Review of Development Economics",9
"Review Journal of Autism and Developmental Disorders",8
"Reumatologia Clinica",79
"Reumatologia",353
"Reumatismo",203
"Retrovirology",339
"Retinal Cases and Brief Reports",7
"Retina",4
"Resuscitation Plus",259
"Resuscitation",1846
"Results in Physics",178
"Results in Engineering",4
"Results in Chemistry",12
"Restoration Ecology",3
"Respirology Case Reports",75
"Respirology",808
"Respiratory Research",1747
"Respiratory Physiology and Neurobiology",848
"Respiratory Medicine: X",1
"Respiratory Medicine and Research",139
"Respiratory Medicine Case Reports",3
"Respiratory Medicine",1618
"Respiratory Investigation",501
"Respiratory Care",11
"Respiration",675
"Resources, Conservation and Recycling Advances",1
"Resources, Conservation and Recycling",34
"Research on Child and Adolescent Psychopathology",6
"Research in gerontological nursing",84
"Research in Veterinary Science",1692
"Research in Social and Administrative Pharmacy",927
"Research in Psychotherapy: Psychopathology, Process and Outcome",171
"Research in Pharmaceutical Sciences",158
"Research in Nursing and Health",294
"Research in Number Theory",15
"Research in Microbiology",411
"Research in Mathematical Sciences",9
"Research in Higher Education",23
"Research in Engineering Design - Theory, Applications, and Concurrent Engineering",6
"Research in Economics",7
"Research in Developmental Disabilities",1243
"Research and Reports in Urology",215
"Research and Practice in Thrombosis and Haemostasis",625
"Research Synthesis Methods",333
"Research Involvement and Engagement",324
"Research Evaluation",1
"Research",552
"Res Publica",1
"Requirements Engineering",10
"Reproductive Toxicology",979
"Reproductive Sciences",1030
"Reproductive Medicine and Biology",333
"Reproductive Health",1181
"Reproductive Biomedicine and Society Online",149
"Reproductive Biology and Endocrinology",860
"Reproductive Biology",448
"Reproductive BioMedicine Online",1399
"Reproduction, Fertility and Development",51
"Reproduction in Domestic Animals",1223
"Reproduction and Fertility",24
"Reproduction",345
"Reports on Progress in Physics",75
"Reports of Practical Oncology and Radiotherapy",623
"Renewable and Sustainable Energy Reviews",20
"Renal Replacement Therapy",21
"Remote Sensing in Ecology and Conservation",8
"Remote Sensing Applications: Society and Environment",13
"Remote Sensing",6
"Reliability Engineering and System Safety",5
"Rehabilitation Research and Practice",121
"Rehabilitacion",147
"Regulatory Toxicology and Pharmacology",1414
"Regulation and Governance",6
"Regional Studies, Regional Science",1
"Regional Studies in Marine Science",3
"Regional Science and Urban Economics",5
"Regional Environmental Change",50
"Regional Anesthesia and Pain Medicine",553
"Regenerative Therapy",428
"Regenerative Engineering and Translational Medicine",9
"Regenerative Biomaterials",352
"Redox Biology",1937
"Recent patents on food, nutrition &amp; agriculture",5
"Recent Patents on Nanotechnology",35
"Recent Patents on Biotechnology",22
"Recent Patents on Anti-Cancer Drug Discovery",35
"Recent Advances in Drug Delivery and Formulation",5
"Recent Advances in Anti-Infective Drug Discovery",18
"Ratio",3
"Rare Tumors",62
"Rare Metals",9
"Rapid Communications in Mass Spectrometry",201
"Random Structures and Algorithms",4
"Ramanujan Journal",9
"Radiotherapy and Oncology",2330
"Radiology: Imaging Cancer",59
"Radiology: Cardiothoracic Imaging",235
"Radiology: Artificial Intelligence",193
"Radiology and Oncology",382
"Radiology Case Reports",9
"Radiological Physics and Technology",309
"Radiologia Medica",894
"Radiologia",134
"Radiography",743
"Radio Science",1
"Radiation and Environmental Biophysics",340
"Radiation Research",22
"Radiation Protection Dosimetry",39
"Radiation Physics and Chemistry",7
"Radiation Oncology Journal",241
"Radiation Oncology",1546
"Radiation Medicine and Protection",2
"RSC Medicinal Chemistry",337
"RSC Chemical Biology",205
"RSC Advances",20350
"RNA",925
"RMD Open",413
"Queueing Systems",7
"Quarterly Review of Economics and Finance",13
"Quarterly Journal of the Royal Meteorological Society",30
"Quarterly Journal of Mechanics and Applied Mathematics",1
"Quantum Machine Intelligence",4
"Quantum Information Processing",8
"Quantitative Science Studies",1
"Quantitative Finance",1
"Quantitative Biology",2
"Quality and Reliability Engineering International",1
"Quality and Quantity",18
"Qualitative Theory of Dynamical Systems",2
"Qualitative Research in Sport, Exercise and Health",1
"Qatar Medical Journal",169
"QRB Discovery",4
"QJM - Monthly Journal of the Association of Physicians",40
"Purinergic Signalling",343
"Pure and Applied Geophysics",11
"Pulmonology",253
"Pulmonary Therapy",73
"Pulmonary Pharmacology and Therapeutics",452
"Pulmonary Medicine",80
"Pulmonary Circulation",404
"Public Health in Practice",277
"Public Health Reviews",153
"Public Health Nursing",530
"Public Health Genomics",157
"Public Health",1897
"Public Choice",23
"Public Administration and Development",8
"Public Administration Review",46
"Public Administration",9
"Psychotherapy and Psychosomatics",173
"Psychosis",1
"Psychophysiology",1253
"Psychopharmacology",1957
"Psychopathology",290
"Psychoneuroendocrinology",2007
"Psychometrika",62
"Psychology, Crime and Law",1
"Psychology in the Schools",27
"Psychology and Psychotherapy: Theory, Research and Practice",68
"Psychology and Neuroscience",1
"Psychology and Marketing",7
"Psychology Research and Behavior Management",640
"Psychological Studies",27
"Psychological Science",99
"Psychological Research",987
"Psychological Injury and Law",17
"Psychologica Belgica",37
"Psychogeriatrics",537
"Psycho-Oncology",1608
"Psychiatry, Psychology and Law",30
"Psychiatry and Clinical Neurosciences",393
"Psychiatry Research - Neuroimaging",762
