Journal title,Review process,APC,APC amount,Does the journal comply to DOAJ's definition of open access?,issn_linking
Archeologia Polski,Double anonymous peer review,No,NA,Yes,00038180
Archives Animal Breeding,Peer review,Yes,240 EUR,Yes,00039438
Archivo Español de Arte,Double anonymous peer review,No,NA,Yes,00040428
Archivos de Pediatría del Uruguay,Double anonymous peer review,No,NA,Yes,00040584
Archivos de Zootecnia,Double anonymous peer review,No,NA,Yes,00040592
Archivos Latinoamericanos de Nutrición,Double anonymous peer review,Yes,300 USD,Yes,00040622
Arhiv za farmaciju,Anonymous peer review,No,NA,Yes,00041963
Arquivos de Gastroenterologia,Anonymous peer review,No,NA,Yes,00042803
Arquivos de Neuro-Psiquiatria,Anonymous peer review,Yes,200 USD,Yes,0004282X
Ars Pharmaceutica,Peer review,No,NA,Yes,00042927
Revista de la Asociación Odontológica Argentina,Double anonymous peer review,No,NA,Yes,00044881
Bulletin de l’Association de Géographes Français,Double anonymous peer review,No,NA,Yes,00045322
The Astronomical Journal,"Peer review, Anonymous peer review, Double anonymous peer review",Yes,4681 USD,Yes,00046256
Australian Journal of Psychology,Double anonymous peer review,Yes,2990 USD; 2392 GBP; 2875 EUR; 4165 AUD,Yes,00049530
Automatika,Anonymous peer review,Yes,1290 AUD; 890 EUR; 740 GBP; 925 USD,Yes,00051144
Автоматика и телемеханика,Anonymous peer review,No,NA,Yes,00052310
Contributions to Entomology,Anonymous peer review,No,NA,Yes,0005805X
"Bijdragen tot de Taal-, Land- en Volkenkunde",Double anonymous peer review,No,NA,Yes,00062294
Biuletyn Historii Sztuki,Double anonymous peer review,No,NA,Yes,00063967
Die Bodenkultur,Double anonymous peer review,No,NA,Yes,00065471
Bogoslovni Vestnik,Anonymous peer review,No,NA,Yes,00065722
Boletín de Estudios Económicos,Double anonymous peer review,No,NA,Yes,00066249
Bothalia: African Biodiversity & Conservation,Double anonymous peer review,No,NA,Yes,00068241
Brodogradnja,Anonymous peer review,Yes,800 EUR,Yes,0007215X
California Agriculture,Double anonymous peer review,No,NA,Yes,00080845
Caryologia,Anonymous peer review,Yes,150 EUR,Yes,00087114
Časopis pro Moderní Filologii,Double anonymous peer review,No,NA,Yes,00087386
Anales de la Cátedra Francisco Suárez,Anonymous peer review,No,NA,Yes,00087750
Česká Literatura,Double anonymous peer review,No,NA,Yes,00090468
Český Lid,Double anonymous peer review,No,NA,Yes,00090794
CHIMIA,Anonymous peer review,No,NA,Yes,00094293
Chirurgia Narządów Ruchu i Ortopedia Polska,Double anonymous peer review,No,NA,Yes,0009479X
Ciceroniana,Double anonymous peer review,No,NA,Yes,00096687
Ciencias Administrativas,Anonymous peer review,No,NA,Yes,00096784
Cirugía del Uruguay,Double anonymous peer review,No,NA,Yes,00097381
Cirugía y Cirujanos,Double anonymous peer review,No,NA,Yes,00097411
Collectanea Botanica,Anonymous peer review,No,NA,Yes,00100730
Commentarii Mathematici Helvetici,Anonymous peer review,No,NA,Yes,00102571
Communio Viatorum,Double anonymous peer review,No,NA,Yes,00103713
Comprehensive Psychiatry,Anonymous peer review,Yes,2610 USD,Yes,0010440X
Crítica,Double anonymous peer review,No,NA,Yes,00111503
Croatica Chemica Acta,Anonymous peer review,No,NA,Yes,00111643
Current Musicology,Double anonymous peer review,No,NA,Yes,00113735
Current Therapeutic Research,Double anonymous peer review,Yes,2000 USD,Yes,0011393X
Journal of Stomatology,Double anonymous peer review,No,NA,Yes,00114553
Technical Transactions,Double anonymous peer review,Yes,950 PLN; 250 EUR,Yes,00114561
Dados: Revista de Ciências Sociais,Peer review,No,NA,Yes,00115258
Darwiniana,Double anonymous peer review,No,NA,Yes,00116793
Demografie,Double anonymous peer review,No,NA,Yes,00118265
Die Deutsche Schule,"Editorial review, Double anonymous peer review",No,NA,Yes,00120731
Deutsches Ärzteblatt,Peer review,No,NA,Yes,00121207
Dialectica,Double anonymous peer review,No,NA,Yes,00122017
Drvna Industrija,Anonymous peer review,No,NA,Yes,00126772
Dyna,Double anonymous peer review,No,NA,Yes,00127353
Económica,Double anonymous peer review,No,NA,Yes,00130419
Edda,Double anonymous peer review,No,NA,Yes,00130818
Journal of the Egyptian Public Health Association,Anonymous peer review,No,NA,Yes,00132446
Ekonomista,Double anonymous peer review,No,NA,Yes,00133205
Ekonomski Anali,Double anonymous peer review,No,NA,Yes,00133264
Electronics Letters,Anonymous peer review,Yes,2540 USD; 1980 GBP; 2310 EUR,Yes,00135194
Elemente der Mathematik,Anonymous peer review,No,NA,Yes,00136018
Emerita,Double anonymous peer review,No,NA,Yes,00136662
L’Enseignement Mathématique,Anonymous peer review,No,NA,Yes,00138584
Επιθεώρηση Κοινωνικών Ερευνών,Double anonymous peer review,No,NA,Yes,00139696
Építőanyag: Journal of Silicate Based and Composite Materials,Anonymous peer review,No,NA,Yes,0013970X
DIE ERDE: Journal of the Geographical Society of Berlin,Peer review,Yes,350 EUR,Yes,00139998
Estudios Geográficos,Double anonymous peer review,No,NA,Yes,00141496
Revista de la Facultad de Ciencias Médicas de Córdoba,Double anonymous peer review,No,NA,Yes,00146722
Farmacja Polska,Double anonymous peer review,Yes,1404 PLN,Yes,00148261
Fennia: International Journal of Geography,Open peer review,No,NA,Yes,00150010
Filosofia,Double anonymous peer review,No,NA,Yes,00151823
Filosoﬁcký časopis,Double anonymous peer review,No,NA,Yes,00151831
Florida Entomologist,Anonymous peer review,Yes,1100 USD; 1000 EUR,Yes,00154040
Fluoride,Peer review,No,NA,Yes,00154725
Folia Orientalia,Double anonymous peer review,No,NA,Yes,00155675
Revista de Fomento Social,Double anonymous peer review,No,NA,Yes,00156043
The Forestry Chronicle,Double anonymous peer review,Yes,1500 CAD,Yes,00157546
Fysioterapeuten,Double anonymous peer review,No,NA,Yes,00163384
Gaceta Médica de México,Double anonymous peer review,No,NA,Yes,00163813
Gallia,Peer review,No,NA,Yes,00164119
Gayana: Botanica,Anonymous peer review,Yes,350 USD,Yes,00165301
Genus,Double anonymous peer review,Yes,1090 GBP; 1390 USD; 1190 EUR,Yes,00166987
Geofísica Internacional,Anonymous peer review,No,NA,Yes,00167169
Geographica Helvetica,Double anonymous peer review,No,NA,Yes,00167312
Netherlands Journal of Geosciences,Anonymous peer review,Yes,1725 USD; 1160 GBP,Yes,00167746
Известия высших учебных заведений: Геология и разведка,Anonymous peer review,No,NA,Yes,00167762
Geologija,Peer review,No,NA,Yes,00167789
Ghana Medical Journal,Double anonymous peer review,No,NA,Yes,00169560
Ginekologia Polska,Double anonymous peer review,Yes,600 EUR,Yes,00170011
Glasnik Advokatske komore Vojvodine,Double anonymous peer review,No,NA,Yes,00170933
Grasas y Aceites,Double anonymous peer review,No,NA,Yes,00173495
"Greek, Roman, and Byzantine Studies",Anonymous peer review,No,NA,Yes,00173916
Heimen,Double anonymous peer review,No,NA,Yes,00179841
Hereditas,Anonymous peer review,Yes,1790 GBP; 2490 USD; 2090 EUR,Yes,00180661
Hesperis-Tamuda,Double anonymous peer review,No,NA,Yes,00181005
Hessische Blätter für Volksbildung,"Editorial review, Peer review, Anonymous peer review, Double anonymous peer review",No,NA,Yes,0018103X
Hispania,Double anonymous peer review,No,NA,Yes,00182141
Hispania Sacra,Double anonymous peer review,No,NA,Yes,0018215X
Historia,Double anonymous peer review,Yes,2000 ZAR,Yes,0018229X
Historický Časopis,Double anonymous peer review,No,NA,Yes,00182575
Homo,Anonymous peer review,Yes,1490 EUR,Yes,0018442X
Indian Heart Journal,Double anonymous peer review,No,NA,Yes,00194832
The Indian Journal of Agricultural Sciences,Peer review,No,NA,Yes,00195022
Indian Journal of Anaesthesia,Double anonymous peer review,No,NA,Yes,00195049
Indian Journal of Chemistry,Anonymous peer review,No,NA,Yes,00195103
Indian Journal of Dermatology,Anonymous peer review,No,NA,Yes,00195154
Indian Journal of Experimental Biology,Double anonymous peer review,No,NA,Yes,00195189
Indian Journal of Psychiatry,Double anonymous peer review,No,NA,Yes,00195545
Indian Journal of Public Health,Double anonymous peer review,Yes,12000 INR,Yes,0019557X
Indian Journal of Pure & Applied Physics,Anonymous peer review,No,NA,Yes,00195596
Informes de la Construccion,Double anonymous peer review,No,NA,Yes,00200883
Measurement + Control,Anonymous peer review,Yes,2000 USD,Yes,00202940
Arquivos do Instituto Biológico,Double anonymous peer review,Yes,800 BRL,Yes,00203653
Revista do Instituto de Estudos Brasileiros,Peer review,No,NA,Yes,00203874
Intereconomics,"Editorial review, Anonymous peer review",No,NA,Yes,00205346
International Dental Journal,Anonymous peer review,Yes,2550 USD,Yes,00206539
Tetsu to Hagane,Anonymous peer review,Yes,108900 JPY,Yes,00211575
Annali dell'Istituto Superiore di Sanità,Anonymous peer review,No,NA,Yes,00212571
Jezik,Double anonymous peer review,No,NA,Yes,00216925
Jezik in Slovstvo,Double anonymous peer review,No,NA,Yes,00216933
Jornal de Pediatria,Double anonymous peer review,Yes,1800 USD,Yes,00217557
The Journal of Adventist Education,Double anonymous peer review,No,NA,Yes,00218480
Journal of Biological Chemistry,Anonymous peer review,Yes,2800 USD,Yes,00219258
Journal of Chemical Engineering of Japan,Anonymous peer review,Yes,1500 USD,Yes,00219592
The Journal of Clinical Investigation,Peer review,Yes,5600 USD,Yes,00219738
Journal of Dairy Science,Anonymous peer review,Yes,3500 USD,Yes,00220302
The Journal of ExtraCorporeal Technology,Double anonymous peer review,Yes,1250 EUR; 1250 USD,Yes,00221058
Journal of Glaciology,Anonymous peer review,Yes,2200 USD; 1648 GBP,Yes,00221430
Journal of Lipid Research,Anonymous peer review,Yes,2800 USD,Yes,00222275
Journal of Nematology,Anonymous peer review,Yes,600 USD,Yes,0022300X
Journal of Scientific and Industrial Research,Anonymous peer review,No,NA,Yes,00224456
Kemija u Industriji,Anonymous peer review,No,NA,Yes,00229830
Клінічна хірургія,Double anonymous peer review,No,NA,Yes,00232130
Klinika Oczna,Anonymous peer review,No,NA,Yes,00232157
Knjižnica,Double anonymous peer review,No,NA,Yes,00232424
Koers : Bulletin for Christian Scholarship,Double anonymous peer review,Yes,513 ZAR,Yes,0023270X
Komunikaty Mazursko-Warmińskie,Double anonymous peer review,No,NA,Yes,00233196
Korea Journal,Double anonymous peer review,No,NA,Yes,00233900
Kunst og Kultur,Double anonymous peer review,No,NA,Yes,00235415
Kwartalnik Historii Kultury Materialnej,Double anonymous peer review,No,NA,Yes,00235881
Kwartalnik Historyczny,Double anonymous peer review,No,NA,Yes,00235903
Food Science & Technology,Anonymous peer review,Yes,2530 USD,Yes,00236438
Icelandic Medical Journal,Anonymous peer review,No,NA,Yes,00237213
Landtechnik,Anonymous peer review,No,NA,Yes,00238082
Revista Lecciones y Ensayos,Double anonymous peer review,No,NA,Yes,00240079
Les,Anonymous peer review,No,NA,Yes,00241067
Libri,Double anonymous peer review,No,NA,Yes,00242667
Liječnički vjesnik,Double anonymous peer review,No,NA,Yes,00243477
Linguistica,Double anonymous peer review,No,NA,Yes,00243922
Linguistics,Double anonymous peer review,No,NA,Yes,00243949
Journal of Folklore and Popular Culture,Double anonymous peer review,No,NA,Yes,00244708
Maal og Minne,Anonymous peer review,No,NA,Yes,0024855X
Indonesian Journal of Geography,Double anonymous peer review,Yes,100 USD,Yes,00249521
Matematički Vesnik,Peer review,No,NA,Yes,00255165
Meander,Double anonymous peer review,No,NA,Yes,00256285
Medicine,Peer review,Yes,1970 USD,Yes,00257974
Međunarodni Problemi,Double anonymous peer review,No,NA,Yes,00258555
Journal of the Meteorological Society of Japan,Peer review,Yes,220000 JPY,Yes,00261165
Micronesica,Peer review,Yes,350 USD,Yes,0026279X
Milk Science International,Double anonymous peer review,Yes,300 EUR,Yes,00263788
Bulletin of the Mineral Research and Exploration,"Peer review, Anonymous peer review",No,NA,Yes,00264563
Mljekarstvo,Peer review,No,NA,Yes,0026704X
Moneta e Credito,Double anonymous peer review,No,NA,Yes,00269611
Annals of the College of Medicine Mosul,Double anonymous peer review,Yes,125000 IQD,Yes,00271446
Muzyka,Double anonymous peer review,No,NA,Yes,00275344
Names,Anonymous peer review,No,NA,Yes,00277738
Journal of Nepal Medical Association,Double anonymous peer review,No,NA,Yes,00282715
Norsk Filosofisk Tidsskrift,Double anonymous peer review,No,NA,Yes,00291943
Tidsskrift for Den norske legeforening,Peer review,No,NA,Yes,00292001
North Carolina Libraries,Peer review,No,NA,Yes,00292540
Nowotwory,Double anonymous peer review,No,NA,Yes,0029540X
Nuclear Fusion,Anonymous peer review,Yes,2060 GBP,Yes,00295515
Nukleonika,Double anonymous peer review,Yes,400 USD,Yes,00295922
Onderstepoort Journal of Veterinary Research,Double anonymous peer review,Yes,15876 ZAR,Yes,00302465
Ophthalmic Research,Anonymous peer review,Yes,2230 EUR; 2540 USD; 2250 CHF,Yes,00303747
Oryx,Anonymous peer review,Yes,3450 USD; 2320 GBP,Yes,00306053
Pakistan Armed Forces Medical Journal,Double anonymous peer review,Yes,10000 PKR,Yes,00309648
Pakistan Journal of Medical Research,Double anonymous peer review,No,NA,Yes,00309842
Journal of the Pakistan Medical Association,Double anonymous peer review,Yes,650 USD; 14000 PKR,Yes,00309982
Pallas,Anonymous peer review,No,NA,Yes,00310387
Pamiętnik Teatralny,Double anonymous peer review,No,NA,Yes,00310522
Papéis Avulsos de Zoologia,Peer review,No,NA,Yes,00311049
Parasitology,Anonymous peer review,Yes,3450 USD; 2320 GBP,Yes,00311820
Pedagogika,Double anonymous peer review,No,NA,Yes,00313815
Pediatria Polska,Double anonymous peer review,No,NA,Yes,00313939
Pensamiento. Revista de Investigación e Información Filosófica,Peer review,No,NA,Yes,00314749
Philippine Journal of Ophthalmology,Anonymous peer review,No,NA,Yes,00317659
Phytopathologia Mediterranea,Peer review,Yes,750 EUR,Yes,00319465
Platinum Metals Review,Peer review,No,NA,Yes,00321400
Polarforschung,Peer review,No,NA,Yes,00322490
Polimery,Double anonymous peer review,Yes,700 EUR,Yes,00322725
Portugaliae Mathematica,Anonymous peer review,No,NA,Yes,00325155
Poultry Science,Anonymous peer review,Yes,1500 USD,Yes,00325791
Prismet,Double anonymous peer review,Yes,7000 NOK,Yes,00328847
Przegląd Geofizyczny,Double anonymous peer review,No,NA,Yes,00332135
Przegląd Komunikacyjny,Peer review,No,NA,Yes,00332232
Przegląd Statystyczny,Double anonymous peer review,No,NA,Yes,00332372
Przegląd Dermatologiczny,Double anonymous peer review,No,NA,Yes,00332526
Psyche: A Journal of Entomology,Anonymous peer review,Yes,950 USD,Yes,00332615
Psychologica Belgica,Double anonymous peer review,Yes,735 GBP,Yes,00332879
Quaderni di Sociologia,Double anonymous peer review,No,NA,Yes,00334952
Raumforschung und Raumordnung,Double anonymous peer review,Yes,250 EUR,Yes,00340111
Reinwardtia,Anonymous peer review,No,NA,Yes,0034365X
Rheumatology,Double anonymous peer review,Yes,850 PLN; 200 EUR,Yes,00346233
Revista Brasileira de Anestesiologia,Double anonymous peer review,No,NA,Yes,00347094
Revista Brasileira de Cancerologia,"Peer review, Double anonymous peer review, Open peer review",No,NA,Yes,00347116
Revista Brasileira de Enfermagem,Double anonymous peer review,Yes,1300 BRL,Yes,00347167
Revista Brasileira de Estudos Pedagógicos,Anonymous peer review,No,NA,Yes,00347183
Revista Brasileira de Estudos Políticos,Double anonymous peer review,No,NA,Yes,00347191
Revista Brasileira de Odontologia,Anonymous peer review,No,NA,Yes,00347272
Revista Brasileira de Oftalmologia,Anonymous peer review,No,NA,Yes,00347280
Revista Brasileira de Política Internacional,Double anonymous peer review,No,NA,Yes,00347329
Revista Ceres,Peer review,Yes,250 BRL,Yes,0034737X
Revista Chilena de Entomología,Anonymous peer review,No,NA,Yes,0034740X
Revista Colombiana de Obstetricia y Ginecología,Double anonymous peer review,No,NA,Yes,00347434
Revista Cubana de Cirugía,Peer review,No,NA,Yes,00347493
Revista Cubana de Estomatología,Double anonymous peer review,No,NA,Yes,00347507
Revista Cubana de Medicina,Double anonymous peer review,No,NA,Yes,00347523
RAE: Revista de Administração de Empresas,"Double anonymous peer review, Open peer review",No,NA,Yes,00347590
Revista de Administração Pública,Double anonymous peer review,No,NA,Yes,00347612
Revista de Antropologia,Double anonymous peer review,No,NA,Yes,00347701
Revista de Biología Tropical,Peer review,No,NA,Yes,00347744
Revista de Dialectología y Tradiciones Populares,Double anonymous peer review,No,NA,Yes,00347981
Revista de Economía y Estadística,Double anonymous peer review,No,NA,Yes,00348066
Revista de Filosofía,Double anonymous peer review,No,NA,Yes,00348236
Revista de Filosofia,Double anonymous peer review,No,NA,Yes,00348244
Revista de História,Double anonymous peer review,No,NA,Yes,00348309
Revista de Historia de América,Double anonymous peer review,No,NA,Yes,00348325
Revista de Indias,Peer review,No,NA,Yes,00348341
Revista de Investigación Clínica,Double anonymous peer review,No,NA,Yes,00348376
Revista de Istorie și Teorie Literară,Double anonymous peer review,No,NA,Yes,00348392
Revista de Literatura,Double anonymous peer review,No,NA,Yes,0034849X
Revista de Metalurgia,Double anonymous peer review,No,NA,Yes,00348570
Revista de Neuro-Psiquiatría,Double anonymous peer review,No,NA,Yes,00348597
Revista de Pedagogie,Double anonymous peer review,No,NA,Yes,00348678
Revista de Saúde Pública,Peer review,Yes,1200 USD,Yes,00348910
Revista Española de Derecho Canónico,Double anonymous peer review,No,NA,Yes,00349372
Revista Española de Pedagogía,Double anonymous peer review,No,NA,Yes,00349461
Interamerican Journal of Psychology,Anonymous peer review,No,NA,Yes,00349690
Revista Internacional de Sociología,Anonymous peer review,No,NA,Yes,00349712
Revista Peruana de Derecho Internacional,Double anonymous peer review,No,NA,Yes,00350370
Revue Belge d'Histoire Contemporaine,Double anonymous peer review,No,NA,Yes,00350869
Revue de Géographie Alpine,Double anonymous peer review,No,NA,Yes,00351121
Revue d’Elevage et de Médecine Vétérinaire des Pays Tropicaux,Anonymous peer review,No,NA,Yes,00351865
Revue Forestière Française,Anonymous peer review,No,NA,Yes,00352829
Rivista di Estetica,Double anonymous peer review,No,NA,Yes,00356212
Rivista Italiana di Ornitologia - Research in Ornithology,Anonymous peer review,No,NA,Yes,00356875
Rivista Italiana di Paleontologia e Stratigrafia,Peer review,No,NA,Yes,00356883
Roczniki Panstwowego Zakladu Higieny,Double anonymous peer review,Yes,150 EUR,Yes,00357715
Monthly Notices of the Royal Astronomical Society,Anonymous peer review,Yes,2310 GBP,Yes,00358711
Ruch Filozoficzny,Double anonymous peer review,No,NA,Yes,00359599
"Ruch Prawniczy, Ekonomiczny i Socjologiczny",Double anonymous peer review,No,NA,Yes,00359629
Salud Pública de México,Double anonymous peer review,No,NA,Yes,00363634
Scientia Pharmaceutica,Anonymous peer review,Yes,1000 CHF,Yes,00368709
Sefarad : Revista de Estudios Hebraicos y Sefardíes,Double anonymous peer review,No,NA,Yes,00370894
Semiotica,Double anonymous peer review,No,NA,Yes,00371998
Singapore Medical Journal,Double anonymous peer review,No,NA,Yes,00375675
Slovenska Literatura,Double anonymous peer review,No,NA,Yes,00376973
Social Work/Maatskaplike Werk,Double anonymous peer review,Yes,3420 ZAR,Yes,00378054
Revista da Sociedade Brasileira de Medicina Tropical,Peer review,No,NA,Yes,00378682
Boletim da Sociedade Paranaense de Matemática,Double anonymous peer review,No,NA,Yes,00378712
Journal de la Société des Américanistes,Peer review,No,NA,Yes,00379174
BSGF - Earth Sciences Bulletin,Anonymous peer review,Yes,800 EUR,Yes,00379409
Sociologija,Double anonymous peer review,No,NA,Yes,00380318
Sociologisk Forskning,Double anonymous peer review,No,NA,Yes,00380342
South African Journal of Obstetrics and Gynaecology,Double anonymous peer review,Yes,7500 ZAR,Yes,00382329
South African Journal of Science,Double anonymous peer review,No,NA,Yes,00382353
Stanovništvo,Anonymous peer review,No,NA,Yes,0038982X
Stomatološki glasnik Srbije,Double anonymous peer review,No,NA,Yes,00391743
Strani pravni život,Double anonymous peer review,No,NA,Yes,00392138
Studia Psychologica,Double anonymous peer review,No,NA,Yes,00393320
Studia Romanica et Anglica Zagrabiensia,Double anonymous peer review,No,NA,Yes,00393339
Studies in African Linguistics,Double anonymous peer review,No,NA,Yes,00393533
"Studii si Cercetari de Istoria Artei : Teatru, Muzică, Cinematografie",Anonymous peer review,No,NA,Yes,00393991
Svensk Teologisk Kvartalskrift,Double anonymous peer review,No,NA,Yes,00396761
Taal en Tongval: Language Variation in the Low Countries,Double anonymous peer review,Yes,200 EUR,Yes,00398691
Tehnika,Anonymous peer review,No,NA,Yes,00402176
Tekstilna industrija,Double anonymous peer review,No,NA,Yes,00402389
Терапевтический архив,Anonymous peer review,No,NA,Yes,00403660
Terra,Double anonymous peer review,No,NA,Yes,00403741
Theoria,Double anonymous peer review,No,NA,Yes,00405817
Tidsskrift for Samfunnsforskning,Double anonymous peer review,No,NA,Yes,0040716X
El Trimestre Económico,Peer review,No,NA,Yes,00413011
Belgeler,Double anonymous peer review,No,NA,Yes,00414247
Belleten,Double anonymous peer review,No,NA,Yes,00414255
The Turkish Journal of Pediatrics,Double anonymous peer review,No,NA,Yes,00414301
Tydskrif vir Letterkunde,Double anonymous peer review,Yes,10000 ZAR,Yes,0041476X
Revista de la Unión Matemática Argentina,Anonymous peer review,No,NA,Yes,00416932
La Universidad,Open peer review,No,NA,Yes,00418242
Boletín Mexicano de Derecho Comparado,Double anonymous peer review,No,NA,Yes,00418633
Revista de la Facultad de Agronomía,Double anonymous peer review,No,NA,Yes,00418676
Revista de Ciências Sociais,Double anonymous peer review,No,NA,Yes,00418862
Rendiconti del Seminario Matematico della Università di Padova,Anonymous peer review,No,NA,Yes,00418994
Revista Universitas Medica,Double anonymous peer review,No,NA,Yes,00419095
مجلة كلية الطب,Double anonymous peer review,Yes,200000 IQD,Yes,00419419
Veritas,Double anonymous peer review,No,NA,Yes,00423955
Vestnik Dermatologii i Venerologii,Double anonymous peer review,Yes,1500 USD,Yes,00424609
Вестник хирургии имени И.И. Грекова,Double anonymous peer review,No,NA,Yes,00424625
Вестник рентгенологии и радиологии,Double anonymous peer review,No,NA,Yes,00424676
Journal of Hydrology and Hydromechanics,Anonymous peer review,No,NA,Yes,0042790X
Војно дело,Double anonymous peer review,No,NA,Yes,00428426
Vojnosanitetski Pregled,Double anonymous peer review,Yes,150 EUR,Yes,00428450
Vojnotehnički Glasnik,Double anonymous peer review,No,NA,Yes,00428469
Bulletin of the World Health Organization,"Editorial review, Peer review, Anonymous peer review",No,NA,Yes,00429686
Wiadomości Statystyczne,Double anonymous peer review,No,NA,Yes,0043518X
Wirtschaftsdienst,"Editorial review, Anonymous peer review",No,NA,Yes,00436275
Yoga-Mimamsa,Double anonymous peer review,Yes,5000 INR; 100 USD,Yes,00440507
Zagadnienia Ekonomiki Rolnej,Double anonymous peer review,No,NA,Yes,00441600
Zapiski Historyczne,Double anonymous peer review,No,NA,Yes,00441791
Zeitschrift für die Gesamte Versicherungswissenschaft,Double anonymous peer review,No,NA,Yes,00442585
Životné prostredie,Peer review,No,NA,Yes,00444863
Acarologia,"Anonymous peer review, Open peer review",No,NA,Yes,0044586X
Acta Amazonica,Peer review,No,NA,Yes,00445967
Acta Medica Iranica,Double anonymous peer review,No,NA,Yes,00446025
Alexandria Journal of Agricultural Sciences,"Editorial review, Peer review",Yes,100 USD,Yes,00447250
American Studies in Scandinavia,Double anonymous peer review,No,NA,Yes,00448060
Architektúra & Urbanizmus,Double anonymous peer review,Yes,200 EUR,Yes,00448680
Archivum Mathematicum,Peer review,No,NA,Yes,00448753
Ars,Double anonymous peer review,No,NA,Yes,00449008
Revista Ciência Agronômica,"Peer review, Double anonymous peer review",Yes,450 BRL,Yes,00456888
Filozofia,Double anonymous peer review,No,NA,Yes,0046385X
Fontes Linguae Vasconum,Double anonymous peer review,No,NA,Yes,0046435X
"Inquiry: The Journal of Health Care Organization, Provision, and Financing",Double anonymous peer review,Yes,2400 USD,Yes,00469580
Islas,Double anonymous peer review,No,NA,Yes,00471542
Jornal Brasileiro de Psiquiatria,Anonymous peer review,No,NA,Yes,00472085
New Zealand Journal of Forestry Science,Anonymous peer review,No,NA,Yes,00480134
The Philippine Journal of Fisheries,Double anonymous peer review,No,NA,Yes,0048377X
Psihologija,Double anonymous peer review,No,NA,Yes,00485705
Reumatismo,Anonymous peer review,No,NA,Yes,00487449
Revista Argentina de Cirugía,Double anonymous peer review,No,NA,Yes,00487600
Revista Argentina de Radiología,Double anonymous peer review,No,NA,Yes,00487619
Revista Chilena de Literatura,Double anonymous peer review,No,NA,Yes,00487651
Santiago,Double anonymous peer review,No,NA,Yes,00489115
Acta ad Archaeologiam et Artium Historiam Pertinentia,Double anonymous peer review,No,NA,Yes,00650900
Acta Agrobotanica,Double anonymous peer review,Yes,400 EUR,Yes,00650951
Acta Baltico-Slavica,Double anonymous peer review,No,NA,Yes,00651044
Acta Zoológica Lilloana,Anonymous peer review,No,NA,Yes,00651729
Antiquités Africaines,Editorial review,No,NA,Yes,00664871
Anuario de Estudios Medievales,Double anonymous peer review,No,NA,Yes,00665061
Archaeologia Polona,Double anonymous peer review,No,NA,Yes,00665924
Archeion,Double anonymous peer review,No,NA,Yes,00666041
Archivo Español de Arqueología,Double anonymous peer review,No,NA,Yes,00666742
Archiwum Kryminologii,Double anonymous peer review,No,NA,Yes,00666890
Arheologia Moldovei,Double anonymous peer review,No,NA,Yes,00667358
Arquivos Brasileiros de Cardiologia,Peer review,No,NA,Yes,0066782X
Arquivos de Zoologia,Anonymous peer review,No,NA,Yes,00667870
The Astrophysical Journal Supplement Series,"Peer review, Anonymous peer review, Double anonymous peer review",Yes,4681 USD,Yes,00670049
Records of the Australian Museum,Peer review,No,NA,Yes,00671975
Boletim de Indústria Animal,Double anonymous peer review,No,NA,Yes,00679615
Boletín de Filología,Double anonymous peer review,No,NA,Yes,00679674
Analele Universităţii Bucureşti: Filosofie,Double anonymous peer review,No,NA,Yes,00683175
